	Behringher-90		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-22.50	53.32	0.51
2.929688	-22.50	53.32	0.51
4.394531	-22.50	53.32	0.51
5.859375	-19.19	-178.72	0.60
7.324219	-14.48	160.38	0.90
8.789063	-11.66	161.13	0.91
10.253906	-7.45	161.09	0.76
11.718750	-11.02	155.78	0.69
13.183594	-9.77	137.95	0.58
14.648438	-9.80	121.95	0.77
16.113281	-7.61	134.71	0.87
17.578125	-4.90	135.25	0.82
19.042969	-5.06	104.96	0.93
20.507813	-5.21	99.37	0.93
21.972656	-5.21	99.92	0.63
23.437500	-4.20	93.56	0.88
24.902344	-2.27	82.98	0.94
26.367188	-1.29	80.64	0.91
27.832031	-1.76	84.78	0.82
29.296875	-3.04	77.64	0.79
30.761719	-3.02	66.80	0.92
32.226563	-4.26	58.38	0.83
33.691406	-5.36	56.58	0.70
35.156250	-4.16	57.50	0.96
36.621094	-3.22	57.60	1.00
38.085938	-2.81	57.51	1.00
39.550781	-2.59	55.54	0.99
41.015625	-2.32	53.62	1.00
42.480469	-2.21	51.62	1.00
43.945313	-2.13	49.60	1.00
45.410156	-2.10	48.07	1.00
46.875000	-2.10	46.95	1.00
48.339844	-2.09	45.92	1.00
49.804688	-2.03	44.85	1.00
51.269531	-1.99	43.59	1.00
52.734375	-1.96	42.46	1.00
54.199219	-1.91	41.32	1.00
55.664063	-1.83	40.21	1.00
57.128906	-1.73	39.25	1.00
58.593750	-1.64	38.34	1.00
60.058594	-1.54	37.30	1.00
61.523438	-1.49	36.32	1.00
62.988281	-1.47	35.60	1.00
64.453125	-1.48	34.99	1.00
65.917969	-1.47	34.11	1.00
67.382813	-1.46	33.23	1.00
68.847656	-1.45	32.37	1.00
70.312500	-1.45	31.40	1.00
71.777344	-1.46	30.46	1.00
73.242188	-1.44	29.60	1.00
74.707031	-1.42	28.85	1.00
76.171875	-1.40	28.23	1.00
77.636719	-1.37	27.74	1.00
79.101563	-1.33	27.28	1.00
80.566406	-1.30	26.86	1.00
82.031250	-1.27	26.52	1.00
83.496094	-1.24	26.16	1.00
84.960938	-1.22	25.76	1.00
86.425781	-1.20	25.32	1.00
87.890625	-1.19	24.89	1.00
89.355469	-1.18	24.52	1.00
90.820313	-1.18	24.17	1.00
92.285156	-1.18	23.85	1.00
93.750000	-1.19	23.54	1.00
95.214844	-1.18	23.25	1.00
96.679688	-1.18	22.94	1.00
98.144531	-1.17	22.63	1.00
