	Behringher-90		
99.609375	-1.16	22.29	1.00
101.074219	-1.15	21.94	1.00
102.539063	-1.14	21.58	1.00
104.003906	-1.14	21.20	1.00
105.468750	-1.13	20.84	1.00
106.933594	-1.12	20.50	1.00
108.398438	-1.11	20.19	1.00
109.863281	-1.10	19.88	1.00
111.328125	-1.09	19.57	1.00
112.792969	-1.08	19.27	1.00
114.257813	-1.08	18.97	1.00
115.722656	-1.07	18.68	1.00
117.187500	-1.06	18.39	1.00
118.652344	-1.05	18.11	1.00
120.117188	-1.04	17.84	1.00
121.582031	-1.02	17.59	1.00
123.046875	-1.01	17.33	1.00
124.511719	-1.00	17.06	1.00
125.976563	-0.99	16.79	1.00
127.441406	-0.99	16.51	1.00
128.906250	-0.99	16.25	1.00
130.371094	-0.99	15.98	1.00
131.835938	-0.99	15.72	1.00
133.300781	-0.99	15.46	1.00
134.765625	-0.99	15.20	1.00
136.230469	-0.99	14.95	1.00
137.695313	-0.99	14.71	1.00
139.160156	-0.99	14.49	1.00
140.625000	-0.99	14.30	1.00
143.554688	-0.98	14.14	1.00
146.484375	-0.98	13.83	1.00
149.414063	-0.97	13.51	1.00
152.343750	-0.96	13.18	1.00
155.273438	-0.95	12.86	1.00
158.203125	-0.95	12.58	1.00
161.132813	-0.94	12.31	1.00
164.062500	-0.95	12.02	1.00
166.992188	-0.95	11.68	1.00
169.921875	-0.95	11.27	1.00
172.851563	-0.94	10.89	1.00
175.781250	-0.94	10.57	1.00
178.710938	-0.95	10.28	1.00
181.640625	-0.95	10.00	1.00
184.570313	-0.97	9.74	1.00
187.500000	-0.98	9.48	1.00
190.429688	-1.01	9.24	1.00
193.359375	-1.03	9.03	1.00
196.289063	-1.06	8.85	1.00
199.218750	-1.08	8.69	1.00
202.148438	-1.09	8.56	1.00
205.078125	-1.11	8.44	1.00
208.007813	-1.12	8.32	1.00
210.937500	-1.13	8.21	1.00
213.867188	-1.14	8.13	1.00
216.796875	-1.15	8.06	1.00
219.726563	-1.16	8.00	1.00
222.656250	-1.16	7.94	1.00
225.585938	-1.17	7.87	1.00
228.515625	-1.17	7.81	1.00
231.445313	-1.16	7.76	1.00
234.375000	-1.15	7.70	1.00
237.304688	-1.14	7.64	1.00
240.234375	-1.13	7.58	1.00
243.164063	-1.11	7.50	1.00
246.093750	-1.08	7.43	1.00
249.023438	-1.07	7.35	1.00
251.953125	-1.05	7.27	1.00
254.882813	-1.04	7.18	1.00
257.812500	-1.03	7.07	1.00
260.742188	-1.02	6.96	1.00
263.671875	-1.01	6.83	1.00
266.601563	-1.01	6.69	1.00
269.531250	-1.00	6.54	1.00
272.460938	-0.99	6.37	1.00
275.390625	-0.99	6.19	1.00
278.320313	-0.98	6.01	1.00
281.250000	-0.98	5.83	1.00
287.109375	-0.98	5.67	1.00
292.968750	-1.00	5.34	1.00
298.828125	-1.01	5.10	1.00
304.687500	-1.03	4.94	1.00
310.546875	-1.04	4.82	1.00
316.406250	-1.05	4.68	1.00
322.265625	-1.06	4.49	1.00
328.125000	-1.07	4.30	1.00
333.984375	-1.08	4.16	1.00
339.843750	-1.09	4.08	1.00
345.703125	-1.10	4.04	1.00
351.562500	-1.10	4.01	1.00
357.421875	-1.10	3.96	1.00
363.281250	-1.09	3.86	1.00
369.140625	-1.08	3.74	1.00
375.000000	-1.07	3.58	1.00
380.859375	-1.06	3.39	1.00
386.718750	-1.06	3.18	1.00
392.578125	-1.07	2.97	1.00
398.437500	-1.07	2.77	1.00
404.296875	-1.09	2.61	1.00
410.156250	-1.11	2.50	1.00
416.015625	-1.12	2.46	1.00
421.875000	-1.13	2.45	1.00
427.734375	-1.13	2.47	1.00
433.593750	-1.13	2.48	1.00
439.453125	-1.12	2.45	1.00
445.312500	-1.11	2.39	1.00
451.171875	-1.10	2.27	1.00
457.031250	-1.09	2.11	1.00
462.890625	-1.08	1.93	1.00
468.750000	-1.08	1.74	1.00
474.609375	-1.08	1.57	1.00
480.468750	-1.08	1.43	1.00
486.328125	-1.09	1.30	1.00
492.187500	-1.10	1.18	1.00
498.046875	-1.11	1.08	1.00
503.906250	-1.12	0.98	1.00
509.765625	-1.14	0.89	1.00
515.625000	-1.15	0.81	1.00
521.484375	-1.16	0.76	1.00
527.343750	-1.18	0.73	1.00
533.203125	-1.18	0.74	1.00
539.062500	-1.19	0.76	1.00
544.921875	-1.18	0.77	1.00
550.781250	-1.18	0.78	1.00
556.640625	-1.17	0.77	1.00
562.500000	-1.16	0.75	1.00
574.218750	-1.15	0.71	1.00
585.937500	-1.13	0.61	1.00
597.656250	-1.13	0.52	1.00
609.375000	-1.13	0.46	1.00
621.093750	-1.14	0.42	1.00
632.812500	-1.14	0.38	1.00
644.531250	-1.12	0.30	1.00
656.250000	-1.10	0.16	1.00
667.968750	-1.08	-0.05	1.00
679.687500	-1.06	-0.31	1.00
691.406250	-1.05	-0.62	1.00
703.125000	-1.05	-0.97	1.00
714.843750	-1.07	-1.30	1.00
726.562500	-1.08	-1.57	1.00
738.281250	-1.10	-1.82	1.00
750.000000	-1.11	-2.05	1.00
761.718750	-1.13	-2.27	1.00
773.437500	-1.15	-2.47	1.00
785.156250	-1.18	-2.63	1.00
796.875000	-1.21	-2.74	1.00
808.593750	-1.23	-2.81	1.00
820.312500	-1.25	-2.86	1.00
832.031250	-1.27	-2.91	1.00
843.750000	-1.28	-2.97	1.00
855.468750	-1.30	-3.05	1.00
867.187500	-1.32	-3.13	1.00
878.906250	-1.33	-3.20	1.00
890.625000	-1.35	-3.26	1.00
902.343750	-1.37	-3.30	1.00
914.062500	-1.39	-3.30	1.00
925.781250	-1.41	-3.26	1.00
937.500000	-1.44	-3.16	1.00
949.218750	-1.45	-3.03	1.00
960.937500	-1.46	-2.88	1.00
972.656250	-1.46	-2.73	1.00
984.375000	-1.45	-2.61	1.00
996.093750	-1.44	-2.52	1.00
1007.812500	-1.42	-2.49	1.00
1019.531250	-1.41	-2.48	1.00
1031.250000	-1.40	-2.49	1.00
1042.968750	-1.39	-2.48	1.00
1054.687500	-1.38	-2.46	1.00
1066.406250	-1.37	-2.42	1.00
1078.125000	-1.36	-2.39	1.00
1089.843750	-1.34	-2.36	1.00
1101.562500	-1.32	-2.36	1.00
1113.281250	-1.30	-2.39	1.00
1125.000000	-1.27	-2.46	1.00
1148.437500	-1.25	-2.56	1.00
1171.875000	-1.21	-2.92	1.00
1195.312500	-1.20	-3.42	1.00
1218.750000	-1.22	-3.95	1.00
1242.187500	-1.28	-4.43	1.00
1265.625000	-1.35	-4.77	1.00
1289.062500	-1.42	-4.95	1.00
1312.500000	-1.49	-5.00	1.00
1335.937500	-1.54	-4.95	1.00
1359.375000	-1.58	-4.86	1.00
1382.812500	-1.62	-4.75	1.00
1406.250000	-1.65	-4.61	1.00
1429.687500	-1.68	-4.47	1.00
1453.125000	-1.71	-4.33	1.00
1476.562500	-1.74	-4.12	1.00
1500.000000	-1.76	-3.82	1.00
1523.437500	-1.76	-3.51	1.00
1546.875000	-1.76	-3.23	1.00
1570.312500	-1.76	-2.98	1.00
1593.750000	-1.76	-2.73	1.00
1617.187500	-1.76	-2.48	1.00
1640.625000	-1.74	-2.26	1.00
1664.062500	-1.73	-2.09	1.00
1687.500000	-1.72	-1.95	1.00
1710.937500	-1.72	-1.84	1.00
1734.375000	-1.72	-1.75	1.00
1757.812500	-1.71	-1.67	1.00
1781.250000	-1.71	-1.60	1.00
1804.687500	-1.71	-1.55	1.00
1828.125000	-1.71	-1.50	1.00
1851.562500	-1.72	-1.42	1.00
1875.000000	-1.73	-1.28	1.00
1898.437500	-1.74	-1.07	1.00
1921.875000	-1.74	-0.83	1.00
1945.312500	-1.73	-0.60	1.00
1968.750000	-1.71	-0.44	1.00
1992.187500	-1.69	-0.32	1.00
2015.625000	-1.68	-0.24	1.00
2039.062500	-1.68	-0.15	1.00
2062.500000	-1.68	-0.03	1.00
2085.937500	-1.68	0.11	1.00
2109.375000	-1.68	0.26	1.00
2132.812500	-1.68	0.40	1.00
2156.250000	-1.69	0.52	1.00
2179.687500	-1.70	0.64	1.00
2203.125000	-1.72	0.78	1.00
2226.562500	-1.73	0.96	1.00
2250.000000	-1.75	1.18	1.00
2296.875000	-1.75	1.39	1.00
2343.750000	-1.74	1.78	1.00
2390.625000	-1.73	2.14	1.00
2437.500000	-1.70	2.66	1.00
2484.375000	-1.64	3.19	1.00
2531.250000	-1.54	3.50	1.00
2578.125000	-1.43	3.62	1.00
2625.000000	-1.33	3.62	1.00
2671.875000	-1.24	3.47	1.00
2718.750000	-1.20	3.18	1.00
2765.625000	-1.22	2.98	1.00
2812.500000	-1.26	2.87	1.00
2859.375000	-1.30	2.76	1.00
2906.250000	-1.36	2.75	1.00
2953.125000	-1.41	2.91	1.00
3000.000000	-1.46	3.16	1.00
3046.875000	-1.50	3.41	1.00
3093.750000	-1.56	3.77	1.00
3140.625000	-1.60	4.30	1.00
3187.500000	-1.63	4.93	1.00
3234.375000	-1.65	5.62	1.00
3281.250000	-1.67	6.37	1.00
3328.125000	-1.66	7.11	1.00
3375.000000	-1.63	7.75	1.00
3421.875000	-1.60	8.33	1.00
3468.750000	-1.54	8.87	1.00
3515.625000	-1.47	9.30	1.00
3562.500000	-1.39	9.55	1.00
3609.375000	-1.29	9.65	1.00
3656.250000	-1.20	9.62	1.00
3703.125000	-1.12	9.44	1.00
3750.000000	-1.08	9.19	1.00
3796.875000	-1.06	9.02	1.00
3843.750000	-1.06	8.96	1.00
3890.625000	-1.07	8.97	1.00
3937.500000	-1.09	9.09	1.00
3984.375000	-1.12	9.37	1.00
4031.250000	-1.14	9.84	1.00
4078.125000	-1.15	10.48	1.00
4125.000000	-1.14	11.29	1.00
4171.875000	-1.08	12.20	1.00
4218.750000	-0.99	13.08	1.00
4265.625000	-0.85	13.84	1.00
4312.500000	-0.67	14.42	0.99
4359.375000	-0.47	14.74	0.98
4406.250000	-0.26	14.77	0.99
4453.125000	-0.07	14.51	1.00
4500.000000	0.10	13.99	1.00
4593.750000	0.21	13.29	0.99
4687.500000	0.33	11.50	1.00
4781.250000	0.31	9.94	1.00
4875.000000	0.20	9.00	1.00
4968.750000	0.05	8.78	1.00
5062.500000	-0.06	9.38	1.00
5156.250000	-0.07	10.43	0.99
5250.000000	0.03	11.37	1.00
5343.750000	0.21	11.73	0.99
5437.500000	0.39	11.60	1.00
5531.250000	0.53	11.23	0.99
5625.000000	0.63	10.78	1.00
5718.750000	0.71	10.37	1.00
5812.500000	0.77	10.00	1.00
5906.250000	0.83	9.69	1.00
6000.000000	0.89	9.37	1.00
6093.750000	0.96	8.94	1.00
6187.500000	1.02	8.42	1.00
6281.250000	1.05	7.82	0.99
6375.000000	1.06	7.14	0.99
6468.750000	1.04	6.46	1.00
6562.500000	0.99	5.91	0.99
6656.250000	0.95	5.55	0.99
6750.000000	0.93	5.30	0.99
6843.750000	0.93	5.05	0.99
6937.500000	0.96	4.73	0.99
7031.250000	0.98	4.34	1.00
7125.000000	0.99	3.91	1.00
7218.750000	0.99	3.47	1.00
7312.500000	0.98	3.02	0.99
7406.250000	0.96	2.60	1.00
7500.000000	0.94	2.28	1.00
7593.750000	0.92	2.05	1.00
7687.500000	0.92	1.90	1.00
7781.250000	0.93	1.78	0.99
7875.000000	0.94	1.65	0.99
7968.750000	0.96	1.52	0.99
8062.500000	0.96	1.39	0.99
8156.250000	0.97	1.24	1.00
8250.000000	0.98	1.06	1.00
8343.750000	0.99	0.85	1.00
8437.500000	1.01	0.58	1.00
8531.250000	1.03	0.22	1.00
8625.000000	1.06	-0.26	1.00
8718.750000	1.07	-0.89	1.00
8812.500000	1.07	-1.62	1.00
8906.250000	1.05	-2.40	1.00
9000.000000	1.01	-3.13	1.00
9187.500000	0.96	-3.74	1.00
9375.000000	0.81	-4.83	1.00
9562.500000	0.65	-5.49	1.00
9750.000000	0.52	-5.70	1.00
9937.500000	0.44	-5.72	1.00
10125.000000	0.41	-5.84	1.00
10312.500000	0.39	-6.26	0.99
10500.000000	0.33	-6.98	0.99
10687.500000	0.22	-7.77	1.00
10875.000000	0.06	-8.48	1.00
11062.500000	-0.14	-8.98	0.99
11250.000000	-0.34	-9.18	0.99
11437.500000	-0.52	-9.13	1.00
11625.000000	-0.66	-8.88	0.99
11812.500000	-0.75	-8.55	1.00
12000.000000	-0.81	-8.37	1.00
12187.500000	-0.85	-8.48	1.00
12375.000000	-0.92	-8.86	1.00
12562.500000	-1.01	-9.41	1.00
12750.000000	-1.16	-10.01	1.00
12937.500000	-1.35	-10.50	1.00
13125.000000	-1.58	-10.76	1.00
13312.500000	-1.83	-10.68	1.00
13500.000000	-2.09	-10.15	0.99
13687.500000	-2.33	-9.16	1.00
13875.000000	-2.51	-7.83	0.99
14062.500000	-2.63	-6.38	1.00
14250.000000	-2.68	-5.04	1.00
14437.500000	-2.70	-3.96	0.99
14625.000000	-2.71	-3.09	0.99
14812.500000	-2.71	-2.35	0.99
15000.000000	-2.72	-1.60	1.00
15187.500000	-2.72	-0.84	1.00
15375.000000	-2.70	-0.11	1.00
15562.500000	-2.67	0.52	1.00
15750.000000	-2.64	1.03	1.00
15937.500000	-2.61	1.41	1.00
16125.000000	-2.58	1.69	1.00
16312.500000	-2.55	1.91	1.00
16500.000000	-2.53	2.09	1.00
16687.500000	-2.50	2.25	1.00
16875.000000	-2.47	2.38	0.99
17062.500000	-2.43	2.50	0.99
17250.000000	-2.39	2.60	0.99
17437.500000	-2.34	2.68	0.99
17625.000000	-2.28	2.70	0.99
17812.500000	-2.22	2.62	0.99
18000.000000	-2.16	2.42	0.99
18187.500000	-2.10	2.11	0.99
18375.000000	-2.06	1.68	0.99
18562.500000	-2.03	1.15	0.99
18750.000000	-2.01	0.54	0.99
18937.500000	-2.00	-0.14	0.99
19125.000000	-2.01	-0.85	0.99
19312.500000	-2.04	-1.57	0.99
19500.000000	-2.07	-2.28	0.99
19687.500000	-2.12	-2.95	0.99
19875.000000	-2.17	-3.58	0.99
20062.500000	-2.22	-4.17	0.99
20250.000000	-2.26	-4.76	0.99
20437.500000	-2.30	-5.38	0.99
20625.000000	-2.33	-6.06	1.00
20812.500000	-2.37	-6.80	1.00
21000.000000	-2.42	-7.56	1.00
21187.500000	-2.47	-8.30	0.99
21375.000000	-2.53	-8.99	0.99
21562.500000	-2.60	-9.57	0.99
21750.000000	-2.70	-10.18	0.99
21937.500000	-2.84	-10.65	0.98
22125.000000	-3.04	-10.64	0.97
22312.500000	-3.32	-9.07	0.91
22500.000000	-3.63	-4.95	0.90
22687.500000	-3.75	9.38	0.80
22875.000000	-3.88	26.62	0.81
23062.500000	-2.63	37.78	0.77
23250.000000	-0.60	16.11	0.54
23437.500000	-3.11	-69.48	0.16
23625.000000	-3.76	-103.10	0.31
23812.500000	-6.38	-163.07	0.49
