	Behringher-0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-25.88	-138.65	0.47
2.929688	-29.62	-168.00	0.40
4.394531	-26.38	163.50	0.75
5.859375	-21.45	148.20	0.70
7.324219	-15.54	-158.92	0.81
8.789063	-13.12	167.93	0.80
10.253906	-9.16	138.42	0.88
11.718750	-10.77	111.77	0.81
13.183594	-6.95	95.16	0.82
14.648438	-7.38	98.94	0.89
16.113281	-6.59	114.84	0.97
17.578125	-4.16	110.74	0.96
19.042969	-4.47	94.39	0.95
20.507813	-4.83	82.66	0.86
21.972656	-4.55	83.98	0.94
23.437500	-3.42	79.22	0.96
24.902344	-3.55	79.68	0.96
26.367188	-3.40	72.46	0.88
27.832031	-2.08	68.51	0.87
29.296875	-1.02	67.63	0.91
30.761719	-1.25	68.29	0.90
32.226563	-1.59	67.13	0.94
33.691406	-1.50	64.18	0.98
35.156250	-1.41	59.05	0.99
36.621094	-1.19	55.60	1.00
38.085938	-1.04	53.27	1.00
39.550781	-0.94	51.66	1.00
41.015625	-0.90	50.56	1.00
42.480469	-1.01	49.04	1.00
43.945313	-1.06	47.57	1.00
45.410156	-1.06	45.78	1.00
46.875000	-1.04	44.04	1.00
48.339844	-1.00	43.01	1.00
49.804688	-0.96	42.24	1.00
51.269531	-0.92	41.31	1.00
52.734375	-0.87	40.02	1.00
54.199219	-0.84	38.67	1.00
55.664063	-0.78	37.38	1.00
57.128906	-0.75	36.25	1.00
58.593750	-0.70	35.23	1.00
60.058594	-0.65	34.44	1.00
61.523438	-0.61	33.80	1.00
62.988281	-0.58	33.17	1.00
64.453125	-0.57	32.49	1.00
65.917969	-0.56	31.83	1.00
67.382813	-0.54	31.25	1.00
68.847656	-0.51	30.83	1.00
70.312500	-0.47	30.46	1.00
71.777344	-0.44	30.00	1.00
73.242188	-0.40	29.45	1.00
74.707031	-0.37	28.85	1.00
76.171875	-0.36	28.29	1.00
77.636719	-0.35	27.78	1.00
79.101563	-0.35	27.21	1.00
80.566406	-0.34	26.58	1.00
82.031250	-0.31	25.96	1.00
83.496094	-0.28	25.35	1.00
84.960938	-0.26	24.78	1.00
86.425781	-0.26	24.25	1.00
87.890625	-0.25	23.76	1.00
89.355469	-0.23	23.32	1.00
90.820313	-0.22	22.94	1.00
92.285156	-0.21	22.58	1.00
93.750000	-0.21	22.22	1.00
